date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,high,low
"03/04/2017, GT Craig NCore",0.2,2.0,12.0,11.0,0.04,37.0,10.0,9.0,1.4,6.0,0.0,0.0,37.0,29,21
"03/05/2017, GT Craig NCore",0.4,5.0,14.0,13.0,0.035,32.0,14.0,13.0,,,3.0,4.0,32.0,48,20
"03/06/2017, GT Craig NCore",,,43.0,41.0,0.037,34.0,46.0,43.0,,,12.0,17.0,43.0,59,45
"03/07/2017, GT Craig NCore",0.4,5.0,11.0,10.0,0.037,34.0,14.0,13.0,8.2,34.0,1.0,1.0,34.0,61,44
"03/09/2017, GT Craig NCore",,,,,0.035,32.0,,,,,,,32.0,49,34
"03/10/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.038,35.0,,,4.2,18.0,1.0,1.0,35.0,36,22
"03/11/2017, GT Craig NCore",0.2,2.0,17.0,16.0,0.04,37.0,,,2.8,12.0,1.0,1.0,37.0,28,19
"03/12/2017, GT Craig NCore",0.2,2.0,18.0,17.0,0.04,37.0,,,0.7,3.0,1.0,1.0,37.0,29,22
"03/13/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.032,30.0,,,2.7,11.0,0.0,0.0,30.0,33,23
"03/14/2017, GT Craig NCore",0.2,2.0,8.0,8.0,0.038,35.0,,,1.6,7.0,0.0,0.0,35.0,27,19
"03/15/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.043,40.0,,,1.9,8.0,0.0,0.0,40.0,31,20
"03/16/2017, GT Craig NCore",0.3,3.0,40.0,38.0,0.04,37.0,,,4.0,17.0,1.0,1.0,38.0,38,26
"03/17/2017, GT Craig NCore",0.7,8.0,49.0,46.0,0.033,31.0,,,16.5,60.0,8.0,11.0,60.0,43,23
"03/18/2017, GT Craig NCore",0.4,5.0,19.0,18.0,0.028,26.0,,,12.3,51.0,1.0,1.0,51.0,41,35
"03/19/2017, GT Craig NCore",0.3,3.0,35.0,33.0,0.038,35.0,,,20.7,69.0,1.0,1.0,69.0,39,35
"03/20/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.021,19.0,,,19.1,66.0,4.0,6.0,66.0,49,34
"03/21/2017, GT Craig NCore",0.5,6.0,37.0,35.0,0.038,35.0,,,16.8,61.0,0.0,0.0,61.0,57,33
