date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val
"01/05/2017, Galleria",0.6,7.0,,,,,,,,,,
"01/05/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/05/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/05/2017, Painesville",,,,,,,,,4.6,19.0,1.0,1.0
"01/05/2017, St Theodosius",,,,,,,24.0,22.0,,,0.0,0.0
"01/06/2017, Barr School",,,,,,,,,6.4,27.0,,
"01/06/2017, Chippewa",,,,,,,,,15.3,58.0,,
"01/06/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/06/2017, Cleveland Near Road",0.4,5.0,34.0,32.0,,,,,,,,
"01/06/2017, Eastlake",,,,,,,,,,,5.0,7.0
"01/06/2017, GT Craig NCore",0.3,3.0,25.0,24.0,0.024,22.0,17.0,16.0,14.1,55.0,0.0,0.0
"01/06/2017, GT Craig NCore",0.3,3.0,25.0,24.0,0.024,22.0,17.0,16.0,14.1,55.0,0.4,0.0
"01/06/2017, Galleria",0.6,7.0,,,,,,,,,,
"01/06/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/06/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/06/2017, Painesville",,,,,,,,,8.2,34.0,2.0,3.0
"01/06/2017, St Theodosius",,,,,,,33.0,31.0,,,0.0,0.0
"01/07/2017, Barr School",,,,,,,18.0,17.0,15.5,58.0,,
"01/07/2017, Barr School",,,,,,,18.0,17.0,15.5,58.0,,
"01/07/2017, Barr School",,,,,,,18.0,17.0,5.7,24.0,,
"01/07/2017, Brookpark",,,,,,,20.0,19.0,14.8,57.0,,
"01/07/2017, Chippewa",,,,,,,,,15.9,59.0,,
"01/07/2017, Chippewa",,,,,,,,,15.1,57.0,,
"01/07/2017, Cleveland Fire St13",,,,,,,26.0,24.0,17.1,62.0,0.0,0.0
"01/07/2017, Cleveland Fire St13",,,,,,,27.0,25.0,17.1,62.0,0.0,0.0
"01/07/2017, Cleveland Near Road",0.3,3.0,23.0,22.0,,,,,,,,
"01/07/2017, District 6",,,,,,,,,16.6,60.0,,
"01/07/2017, Eastlake",,,,,,,,,,,5.0,7.0
"01/07/2017, FAIRPORT HIGH SCHOOL",,,,,,,12.0,11.0,,,,
"01/07/2017, FAIRPORT HIGH SCHOOL",,,,,,,13.0,12.0,,,,
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,30.0,28.0,15.7,59.0,0.0,0.0
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,30.0,28.0,15.7,59.0,0.5,0.0
