date_county,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
"03/11/2017, Cuyahoga",4.1,17
"03/14/2017, Cuyahoga",3.3,14
"03/17/2017, Cuyahoga",20.4,68
"03/20/2017, Cuyahoga",17.9,63
"03/23/2017, Cuyahoga",12.8,52
"03/26/2017, Cuyahoga",14.2,55
"03/29/2017, Cuyahoga",4.6,19
"04/01/2017, Cuyahoga",5.7,24
"04/04/2017, Cuyahoga",3.6,15
"04/07/2017, Cuyahoga",2.5,10
"04/10/2017, Cuyahoga",10.5,44
"04/13/2017, Cuyahoga",6.7,28
"04/16/2017, Cuyahoga",7.9,33
"04/19/2017, Cuyahoga",9.1,38
"04/22/2017, Cuyahoga",2.5,10
"04/25/2017, Cuyahoga",5.7,24
"04/28/2017, Cuyahoga",7.3,30
"05/01/2017, Cuyahoga",7.9,33
"05/04/2017, Cuyahoga",7.2,30
"05/07/2017, Cuyahoga",2.2,9
"05/10/2017, Cuyahoga",6.0,25
"05/13/2017, Cuyahoga",7.9,33
"05/16/2017, Cuyahoga",13.5,54
"05/19/2017, Cuyahoga",4.8,20
"05/22/2017, Cuyahoga",4.3,18
"05/25/2017, Cuyahoga",4.3,18
"05/28/2017, Cuyahoga",12.3,51
"05/31/2017, Cuyahoga",6.6,28
"06/03/2017, Cuyahoga",8.5,35
"06/06/2017, Cuyahoga",2.7,11
"06/09/2017, Cuyahoga",11.6,48
"06/12/2017, Cuyahoga",11.4,48
"06/15/2017, Cuyahoga",9.2,38
"06/18/2017, Cuyahoga",7.7,32
"06/21/2017, Cuyahoga",5.9,25
"06/24/2017, Cuyahoga",4.6,19
"06/27/2017, Cuyahoga",3.5,15
"06/30/2017, Cuyahoga",9.1,38
"07/03/2017, Cuyahoga",7.0,29
"07/06/2017, Cuyahoga",16.6,60
"07/09/2017, Cuyahoga",7.3,30
"07/12/2017, Cuyahoga",9.6,40
"07/15/2017, Cuyahoga",5.7,24
"07/18/2017, Cuyahoga",14.2,55
"07/21/2017, Cuyahoga",8.9,37
"07/24/2017, Cuyahoga",5.0,21
"07/27/2017, Cuyahoga",13.7,54
"07/30/2017, Cuyahoga",6.1,25
"08/02/2017, Cuyahoga",18.7,65
"08/05/2017, Cuyahoga",5.6,23
"08/08/2017, Cuyahoga",7.2,30
"08/11/2017, Cuyahoga",14.5,56
"08/14/2017, Cuyahoga",11.7,49
"08/17/2017, Cuyahoga",13.4,54
"08/20/2017, Cuyahoga",15.9,59
"08/23/2017, Cuyahoga",6.0,25
"08/26/2017, Cuyahoga",8.7,36
"08/29/2017, Cuyahoga",11.6,48
"09/01/2017, Cuyahoga",4.3,18
"09/04/2017, Cuyahoga",12.1,51
"09/07/2017, Cuyahoga",3.1,13
"09/10/2017, Cuyahoga",7.7,32
"09/13/2017, Cuyahoga",9.2,38
"09/16/2017, Cuyahoga",16.1,59
"09/19/2017, Cuyahoga",19.0,66
"09/22/2017, Cuyahoga",16.9,61
"09/25/2017, Cuyahoga",19.4,66
"09/28/2017, Cuyahoga",2.5,10
"10/01/2017, Cuyahoga",8.6,36
"10/07/2017, Cuyahoga",12.0,50
"10/10/2017, Cuyahoga",15.9,59
"10/13/2017, Cuyahoga",9.1,38
"10/16/2017, Cuyahoga",3.5,15
"10/19/2017, Cuyahoga",7.8,33
"10/22/2017, Cuyahoga",17.5,62
"10/25/2017, Cuyahoga",3.2,13
"10/28/2017, Cuyahoga",3.1,13
"11/03/2017, Cuyahoga",3.3,14
"11/06/2017, Cuyahoga",2.4,10
"11/09/2017, Cuyahoga",15.0,57
"11/12/2017, Cuyahoga",17.4,62
"11/15/2017, Cuyahoga",21.5,71
"11/18/2017, Cuyahoga",13.8,55
"11/21/2017, Cuyahoga",5.9,25
"11/24/2017, Cuyahoga",9.6,40
"11/27/2017, Cuyahoga",15.5,58
"11/30/2017, Cuyahoga",15.4,58
"12/03/2017, Cuyahoga",33.7,96
"12/06/2017, Cuyahoga",6.6,28
"12/09/2017, Cuyahoga",15.1,57
"12/12/2017, Cuyahoga",4.2,18
"12/15/2017, Cuyahoga",15.6,58
"12/18/2017, Cuyahoga",12.2,51
"12/21/2017, Cuyahoga",7.1,30
"12/24/2017, Cuyahoga",13.7,54
"12/27/2017, Cuyahoga",13.3,54
"12/30/2017, Cuyahoga",12.1,51
"01/01/2017, Cuyahoga",12.6,52
"01/04/2017, Cuyahoga",6.6,28
"01/10/2017, Cuyahoga",12.0,50
"01/13/2017, Cuyahoga",6.3,26
"01/16/2017, Cuyahoga",31.9,93
"01/19/2017, Cuyahoga",8.5,35
"01/22/2017, Cuyahoga",13.2,53
"01/25/2017, Cuyahoga",9.4,39
"01/28/2017, Cuyahoga",11.2,47
"01/31/2017, Cuyahoga",10.0,42
"02/03/2017, Cuyahoga",8.5,35
"02/06/2017, Cuyahoga",21.8,71
"02/09/2017, Cuyahoga",3.2,13
"02/12/2017, Cuyahoga",15.1,57
"02/15/2017, Cuyahoga",3.9,16
"02/18/2017, Cuyahoga",9.7,40
"02/21/2017, Cuyahoga",18.8,65
"02/24/2017, Cuyahoga",11.2,47
"02/27/2017, Cuyahoga",7.3,30
"03/02/2017, Cuyahoga",3.3,14
"03/05/2017, Cuyahoga",9.4,39
"03/08/2017, Cuyahoga",2.2,9
"03/11/2017, Cuyahoga",4.2,18
"03/14/2017, Cuyahoga",3.0,13
"03/17/2017, Cuyahoga",21.2,70
"03/20/2017, Cuyahoga",18.9,65
"03/23/2017, Cuyahoga",12.8,52
"03/26/2017, Cuyahoga",14.0,55
"04/01/2017, Cuyahoga",6.2,26
"04/04/2017, Cuyahoga",3.7,15
"04/07/2017, Cuyahoga",2.4,10
"04/10/2017, Cuyahoga",10.9,45
"04/13/2017, Cuyahoga",7.1,30
"04/16/2017, Cuyahoga",7.5,31
"04/19/2017, Cuyahoga",9.6,40
"04/22/2017, Cuyahoga",2.5,10
"04/25/2017, Cuyahoga",3.7,15
"04/28/2017, Cuyahoga",4.7,20
"05/01/2017, Cuyahoga",6.4,27
"05/04/2017, Cuyahoga",7.9,33
"05/07/2017, Cuyahoga",1.8,8
"05/10/2017, Cuyahoga",5.6,23
"05/13/2017, Cuyahoga",7.7,32
"05/16/2017, Cuyahoga",12.0,50
"05/19/2017, Cuyahoga",4.0,17
"05/22/2017, Cuyahoga",3.7,15
"05/25/2017, Cuyahoga",4.3,18
"05/28/2017, Cuyahoga",12.0,50
"05/31/2017, Cuyahoga",6.2,26
"06/03/2017, Cuyahoga",8.4,35
"06/06/2017, Cuyahoga",2.3,10
"06/09/2017, Cuyahoga",12.0,50
"06/15/2017, Cuyahoga",9.7,40
"06/18/2017, Cuyahoga",7.6,32
"06/21/2017, Cuyahoga",5.8,24
"06/24/2017, Cuyahoga",4.7,20
"06/27/2017, Cuyahoga",3.3,14
"06/30/2017, Cuyahoga",7.4,31
"07/03/2017, Cuyahoga",7.0,29
"07/06/2017, Cuyahoga",16.7,61
"07/09/2017, Cuyahoga",7.5,31
"07/12/2017, Cuyahoga",9.9,41
"07/15/2017, Cuyahoga",4.8,20
"07/18/2017, Cuyahoga",13.9,55
"08/02/2017, Cuyahoga",19.4,66
"08/05/2017, Cuyahoga",5.7,24
"08/08/2017, Cuyahoga",8.0,33
"08/11/2017, Cuyahoga",14.9,57
"08/14/2017, Cuyahoga",12.0,50
"08/17/2017, Cuyahoga",12.8,52
