date_county,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
"02/26/2017, Cuyahoga",14,13
"03/03/2017, Cuyahoga",14,13
"03/08/2017, Cuyahoga",22,20
"03/13/2017, Cuyahoga",23,21
"03/18/2017, Cuyahoga",20,19
"03/23/2017, Cuyahoga",43,40
"03/28/2017, Cuyahoga",12,11
"04/02/2017, Cuyahoga",17,16
"04/07/2017, Cuyahoga",6,6
"04/12/2017, Cuyahoga",15,14
"04/17/2017, Cuyahoga",16,15
"04/22/2017, Cuyahoga",8,7
"04/27/2017, Cuyahoga",54,50
"05/02/2017, Cuyahoga",9,8
"05/07/2017, Cuyahoga",7,6
"05/12/2017, Cuyahoga",23,21
"05/17/2017, Cuyahoga",43,40
"05/22/2017, Cuyahoga",16,15
"05/27/2017, Cuyahoga",8,7
"06/06/2017, Cuyahoga",11,10
"06/11/2017, Cuyahoga",24,22
"06/16/2017, Cuyahoga",24,22
"06/21/2017, Cuyahoga",19,18
"06/26/2017, Cuyahoga",14,13
"07/11/2017, Cuyahoga",21,19
"07/26/2017, Cuyahoga",33,31
"07/31/2017, Cuyahoga",40,37
"08/05/2017, Cuyahoga",11,10
"08/10/2017, Cuyahoga",45,42
"08/15/2017, Cuyahoga",41,38
"08/20/2017, Cuyahoga",36,33
"08/25/2017, Cuyahoga",26,24
"08/30/2017, Cuyahoga",30,28
"09/04/2017, Cuyahoga",26,24
"09/09/2017, Cuyahoga",14,13
"09/14/2017, Cuyahoga",22,20
"09/19/2017, Cuyahoga",52,48
"09/24/2017, Cuyahoga",42,39
"09/29/2017, Cuyahoga",31,29
"10/04/2017, Cuyahoga",49,45
"10/09/2017, Cuyahoga",14,13
"10/14/2017, Cuyahoga",49,45
"10/19/2017, Cuyahoga",28,26
"10/24/2017, Cuyahoga",13,12
"10/29/2017, Cuyahoga",7,6
"11/03/2017, Cuyahoga",10,9
"11/08/2017, Cuyahoga",27,25
"11/13/2017, Cuyahoga",21,19
"11/18/2017, Cuyahoga",26,24
"11/23/2017, Cuyahoga",11,10
"11/28/2017, Cuyahoga",35,32
"12/03/2017, Cuyahoga",47,44
"12/08/2017, Cuyahoga",16,15
"12/13/2017, Cuyahoga",22,20
"12/18/2017, Cuyahoga",14,13
"12/23/2017, Cuyahoga",92,69
"12/28/2017, Cuyahoga",30,28
"01/04/2017, Cuyahoga",19,18
"01/09/2017, Cuyahoga",30,28
"01/14/2017, Cuyahoga",18,17
"01/19/2017, Cuyahoga",15,14
"01/28/2017, Cuyahoga",17,16
"02/02/2017, Cuyahoga",10,9
"02/07/2017, Cuyahoga",21,19
"02/12/2017, Cuyahoga",17,16
"02/17/2017, Cuyahoga",43,40
"02/22/2017, Cuyahoga",25,23
"02/27/2017, Cuyahoga",17,16
"03/04/2017, Cuyahoga",7,6
"03/09/2017, Cuyahoga",8,7
"03/14/2017, Cuyahoga",9,8
"03/19/2017, Cuyahoga",23,21
"03/24/2017, Cuyahoga",23,21
"03/29/2017, Cuyahoga",13,12
"04/03/2017, Cuyahoga",30,28
"04/08/2017, Cuyahoga",15,14
"04/13/2017, Cuyahoga",28,26
"04/18/2017, Cuyahoga",33,31
"04/23/2017, Cuyahoga",22,20
"04/28/2017, Cuyahoga",19,18
"05/08/2017, Cuyahoga",14,13
"05/13/2017, Cuyahoga",20,19
"05/18/2017, Cuyahoga",29,27
"05/23/2017, Cuyahoga",41,38
"05/28/2017, Cuyahoga",23,21
"06/02/2017, Cuyahoga",29,27
"06/07/2017, Cuyahoga",17,16
"06/12/2017, Cuyahoga",26,24
"06/17/2017, Cuyahoga",28,26
"06/22/2017, Cuyahoga",25,23
"06/27/2017, Cuyahoga",12,11
"07/02/2017, Cuyahoga",16,15
"07/07/2017, Cuyahoga",15,14
"07/12/2017, Cuyahoga",20,19
"07/17/2017, Cuyahoga",21,19
"07/22/2017, Cuyahoga",20,19
"07/27/2017, Cuyahoga",36,33
"08/01/2017, Cuyahoga",40,37
"08/06/2017, Cuyahoga",21,19
"08/11/2017, Cuyahoga",28,26
"08/16/2017, Cuyahoga",35,32
"08/21/2017, Cuyahoga",35,32
"08/26/2017, Cuyahoga",20,19
"08/31/2017, Cuyahoga",19,18
"09/05/2017, Cuyahoga",16,15
"09/10/2017, Cuyahoga",22,20
"09/15/2017, Cuyahoga",35,32
"09/20/2017, Cuyahoga",37,34
"09/25/2017, Cuyahoga",55,51
"09/30/2017, Cuyahoga",10,9
"10/05/2017, Cuyahoga",16,15
"10/10/2017, Cuyahoga",37,34
"10/15/2017, Cuyahoga",15,14
"10/20/2017, Cuyahoga",36,33
"10/25/2017, Cuyahoga",10,9
"10/30/2017, Cuyahoga",11,10
"11/04/2017, Cuyahoga",19,18
"11/09/2017, Cuyahoga",29,27
"11/14/2017, Cuyahoga",28,26
"11/19/2017, Cuyahoga",5,5
"11/24/2017, Cuyahoga",25,23
"11/29/2017, Cuyahoga",15,14
"12/04/2017, Cuyahoga",59,53
"12/09/2017, Cuyahoga",31,29
"12/14/2017, Cuyahoga",11,10
"12/19/2017, Cuyahoga",21,19
"12/24/2017, Cuyahoga",13,12
"12/29/2017, Cuyahoga",38,35
"01/05/2017, Cuyahoga",24,22
"01/10/2017, Cuyahoga",25,23
"01/15/2017, Cuyahoga",34,31
"01/20/2017, Cuyahoga",13,12
"01/25/2017, Cuyahoga",24,22
"01/29/2017, Cuyahoga",12,11
"02/03/2017, Cuyahoga",23,21
"02/08/2017, Cuyahoga",9,8
"02/13/2017, Cuyahoga",21,19
"02/18/2017, Cuyahoga",27,25
"02/23/2017, Cuyahoga",35,32
"02/28/2017, Cuyahoga",35,32
"03/05/2017, Cuyahoga",23,21
"03/10/2017, Cuyahoga",13,12
"03/15/2017, Cuyahoga",14,13
"03/20/2017, Cuyahoga",35,32
"03/25/2017, Cuyahoga",34,31
"03/30/2017, Cuyahoga",20,19
"04/04/2017, Cuyahoga",10,9
"04/09/2017, Cuyahoga",45,42
"04/14/2017, Cuyahoga",30,28
"04/19/2017, Cuyahoga",30,28
"04/24/2017, Cuyahoga",43,40
"04/29/2017, Cuyahoga",13,12
"05/04/2017, Cuyahoga",22,20
"05/09/2017, Cuyahoga",35,32
"05/14/2017, Cuyahoga",20,19
"05/19/2017, Cuyahoga",19,18
"05/24/2017, Cuyahoga",26,24
"05/29/2017, Cuyahoga",19,18
"06/03/2017, Cuyahoga",22,20
"06/08/2017, Cuyahoga",42,39
"06/13/2017, Cuyahoga",33,31
"06/18/2017, Cuyahoga",20,19
"06/23/2017, Cuyahoga",12,11
"06/28/2017, Cuyahoga",19,18
"07/03/2017, Cuyahoga",17,16
"07/08/2017, Cuyahoga",15,14
"07/13/2017, Cuyahoga",22,20
"07/18/2017, Cuyahoga",41,38
"07/23/2017, Cuyahoga",14,13
"07/28/2017, Cuyahoga",36,33
"08/02/2017, Cuyahoga",46,43
"08/07/2017, Cuyahoga",32,30
"08/12/2017, Cuyahoga",15,14
"08/17/2017, Cuyahoga",36,33
"08/22/2017, Cuyahoga",26,24
"08/27/2017, Cuyahoga",32,30
"09/01/2017, Cuyahoga",24,22
"09/06/2017, Cuyahoga",16,15
"09/11/2017, Cuyahoga",26,24
"09/16/2017, Cuyahoga",37,34
"09/21/2017, Cuyahoga",55,51
"09/26/2017, Cuyahoga",60,53
"10/01/2017, Cuyahoga",28,26
"10/06/2017, Cuyahoga",29,27
"10/11/2017, Cuyahoga",18,17
"10/16/2017, Cuyahoga",10,9
"10/21/2017, Cuyahoga",59,53
"10/26/2017, Cuyahoga",20,19
"10/31/2017, Cuyahoga",14,13
"11/05/2017, Cuyahoga",18,17
"11/10/2017, Cuyahoga",8,7
"11/15/2017, Cuyahoga",37,34
"11/20/2017, Cuyahoga",15,14
"11/25/2017, Cuyahoga",10,9
"11/30/2017, Cuyahoga",33,31
"12/05/2017, Cuyahoga",14,13
"12/10/2017, Cuyahoga",16,15
"12/15/2017, Cuyahoga",32,30
"12/20/2017, Cuyahoga",14,13
"12/25/2017, Cuyahoga",18,17
"12/30/2017, Cuyahoga",19,18
"01/01/2017, Cuyahoga",27,25
"01/07/2017, Cuyahoga",26,24
"01/13/2017, Cuyahoga",15,14
"01/19/2017, Cuyahoga",13,12
"01/25/2017, Cuyahoga",13,12
"01/31/2017, Cuyahoga",14,13
"02/06/2017, Cuyahoga",39,36
"02/12/2017, Cuyahoga",37,34
"02/18/2017, Cuyahoga",31,29
"02/24/2017, Cuyahoga",22,20
"03/02/2017, Cuyahoga",25,23
"03/08/2017, Cuyahoga",31,29
"03/14/2017, Cuyahoga",10,9
"03/20/2017, Cuyahoga",30,28
"03/26/2017, Cuyahoga",18,17
"04/01/2017, Cuyahoga",18,17
"04/07/2017, Cuyahoga",7,6
"04/13/2017, Cuyahoga",21,19
"04/19/2017, Cuyahoga",28,26
"05/01/2017, Cuyahoga",27,25
"05/13/2017, Cuyahoga",18,17
"05/19/2017, Cuyahoga",17,16
"05/25/2017, Cuyahoga",9,8
"05/31/2017, Cuyahoga",39,36
"06/06/2017, Cuyahoga",13,12
"06/12/2017, Cuyahoga",43,40
"06/18/2017, Cuyahoga",31,29
"06/24/2017, Cuyahoga",31,29
"06/30/2017, Cuyahoga",19,18
"07/06/2017, Cuyahoga",39,36
"07/12/2017, Cuyahoga",24,22
"07/18/2017, Cuyahoga",25,23
"07/24/2017, Cuyahoga",22,20
"07/30/2017, Cuyahoga",21,19
"08/05/2017, Cuyahoga",19,18
"08/11/2017, Cuyahoga",23,21
"08/17/2017, Cuyahoga",22,20
"08/23/2017, Cuyahoga",29,27
"08/29/2017, Cuyahoga",21,19
"09/04/2017, Cuyahoga",31,29
"09/10/2017, Cuyahoga",10,9
"09/16/2017, Cuyahoga",28,26
"09/22/2017, Cuyahoga",33,31
"09/28/2017, Cuyahoga",17,16
"10/04/2017, Cuyahoga",33,31
"10/10/2017, Cuyahoga",36,33
"10/16/2017, Cuyahoga",16,15
"10/22/2017, Cuyahoga",21,19
"10/28/2017, Cuyahoga",8,7
"11/03/2017, Cuyahoga",16,15
"11/09/2017, Cuyahoga",37,34
"11/15/2017, Cuyahoga",21,19
"11/21/2017, Cuyahoga",19,18
"11/27/2017, Cuyahoga",38,35
"12/03/2017, Cuyahoga",41,38
"12/09/2017, Cuyahoga",19,18
"12/15/2017, Cuyahoga",27,25
"12/21/2017, Cuyahoga",17,16
"12/27/2017, Cuyahoga",24,22
"01/07/2017, Cuyahoga",27,25
"01/13/2017, Cuyahoga",16,15
"01/19/2017, Cuyahoga",13,12
"01/25/2017, Cuyahoga",14,13
"01/31/2017, Cuyahoga",16,15
"02/06/2017, Cuyahoga",36,33
"02/12/2017, Cuyahoga",37,34
"02/18/2017, Cuyahoga",30,28
"02/24/2017, Cuyahoga",22,20
"03/02/2017, Cuyahoga",26,24
"03/08/2017, Cuyahoga",27,25
"03/14/2017, Cuyahoga",11,10
"03/20/2017, Cuyahoga",28,26
"03/26/2017, Cuyahoga",19,18
"04/01/2017, Cuyahoga",19,18
"04/07/2017, Cuyahoga",8,7
"04/13/2017, Cuyahoga",22,20
"04/19/2017, Cuyahoga",27,25
"04/25/2017, Cuyahoga",14,13
"05/07/2017, Cuyahoga",11,10
"05/13/2017, Cuyahoga",18,17
"05/19/2017, Cuyahoga",17,16
"05/25/2017, Cuyahoga",9,8
