date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi
"01/29/2017, GT Craig NCore",0.2,2.0,18.0,17.0,0.032,30.0,7.0,6.0,6.0,25.0,0.0,0.0,30.0
"01/30/2017, GT Craig NCore",0.3,3.0,21.0,20.0,0.033,31.0,9.0,8.0,2.4,10.0,3.0,4.0,31.0
"01/31/2017, GT Craig NCore",0.3,3.0,31.0,29.0,0.027,25.0,10.0,9.0,9.1,38.0,,,38.0
"02/01/2017, GT Craig NCore",0.3,3.0,32.0,30.0,0.029,27.0,8.0,7.0,5.2,22.0,0.0,0.0,30.0
"02/02/2017, GT Craig NCore",0.3,3.0,17.0,16.0,0.034,31.0,12.0,11.0,5.0,21.0,0.0,0.0,31.0
"02/03/2017, GT Craig NCore",0.3,3.0,24.0,23.0,0.039,36.0,22.0,20.0,7.1,30.0,0.0,0.0,36.0
"02/04/2017, GT Craig NCore",0.2,2.0,17.0,16.0,0.034,31.0,12.0,11.0,3.4,14.0,4.0,6.0,31.0
"02/05/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.03,28.0,16.0,15.0,8.6,36.0,1.0,1.0,36.0
"02/06/2017, GT Craig NCore",,,45.0,42.0,0.025,23.0,35.0,32.0,19.9,67.0,5.0,7.0,67.0
"02/07/2017, GT Craig NCore",0.5,6.0,30.0,28.0,0.027,25.0,15.0,14.0,9.4,39.0,1.0,1.0,39.0
"02/08/2017, GT Craig NCore",0.3,3.0,12.0,11.0,0.033,31.0,10.0,9.0,2.8,12.0,0.0,0.0,31.0
"02/09/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.035,32.0,15.0,14.0,1.9,8.0,0.0,0.0,32.0
"02/10/2017, GT Craig NCore",0.6,7.0,22.0,21.0,0.024,22.0,35.0,32.0,10.0,42.0,11.0,16.0,42.0
"02/11/2017, GT Craig NCore",0.6,7.0,33.0,31.0,0.021,19.0,22.0,20.0,10.5,44.0,0.0,0.0,44.0
"02/12/2017, GT Craig NCore",0.7,8.0,31.0,29.0,0.039,36.0,12.0,11.0,17.5,62.0,0.0,0.0,62.0
"02/13/2017, GT Craig NCore",0.5,6.0,46.0,43.0,0.036,33.0,25.0,23.0,4.4,18.0,1.0,1.0,43.0
"02/14/2017, GT Craig NCore",0.6,7.0,17.0,16.0,0.035,32.0,19.0,18.0,5.9,25.0,1.0,1.0,32.0
"02/15/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.033,31.0,9.0,8.0,2.2,9.0,0.0,0.0,31.0
"02/16/2017, GT Craig NCore",0.4,5.0,46.0,43.0,0.033,31.0,28.0,26.0,4.0,17.0,3.0,4.0,43.0
"02/17/2017, GT Craig NCore",0.5,6.0,39.0,37.0,0.032,30.0,49.0,45.0,14.2,55.0,12.0,17.0,55.0
"02/18/2017, GT Craig NCore",0.4,5.0,13.0,12.0,0.048,44.0,20.0,19.0,8.3,35.0,1.0,1.0,44.0
"02/19/2017, GT Craig NCore",0.5,6.0,39.0,37.0,0.038,35.0,28.0,26.0,17.7,63.0,0.0,0.0,63.0
"02/20/2017, GT Craig NCore",1.0,11.0,45.0,42.0,0.014,13.0,50.0,46.0,17.1,62.0,2.0,3.0,62.0
"02/21/2017, GT Craig NCore",0.6,7.0,43.0,41.0,0.026,24.0,71.0,59.0,14.3,56.0,8.0,11.0,59.0
"02/22/2017, GT Craig NCore",0.7,8.0,38.0,36.0,0.034,31.0,28.0,26.0,17.4,62.0,4.0,6.0,62.0
"02/23/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.027,25.0,27.0,25.0,15.0,57.0,0.0,0.0,57.0
"02/24/2017, GT Craig NCore",0.5,6.0,30.0,28.0,0.038,35.0,32.0,30.0,13.3,54.0,7.0,10.0,54.0
"02/25/2017, GT Craig NCore",0.2,2.0,5.0,5.0,0.031,29.0,5.0,5.0,3.4,14.0,0.0,0.0,29.0
"02/26/2017, GT Craig NCore",0.2,2.0,7.0,7.0,0.036,33.0,8.0,7.0,4.2,18.0,0.0,0.0,33.0
"02/27/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.036,33.0,14.0,13.0,4.3,18.0,1.0,1.0,33.0
