date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi
"07/21/2017, GT Craig NCore",0.3,3.0,40.0,38.0,0.049,45.0,26.0,24.0,7.2,30.0,5.0,7.0,45.0
"07/22/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.04,37.0,18.0,17.0,6.1,25.0,3.0,4.0,37.0
"07/23/2017, GT Craig NCore",0.2,2.0,8.0,8.0,0.047,44.0,11.0,10.0,1.6,7.0,0.0,0.0,44.0
"07/24/2017, GT Craig NCore",0.2,2.0,13.0,12.0,0.028,26.0,9.0,8.0,0.3,1.0,2.0,3.0,26.0
"07/25/2017, GT Craig NCore",0.2,2.0,18.0,17.0,0.028,26.0,10.0,9.0,-2.7,0.0,1.0,1.0,26.0
"07/26/2017, GT Craig NCore",0.3,3.0,29.0,27.0,0.049,45.0,32.0,30.0,6.8,28.0,6.0,9.0,45.0
"07/27/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.054,50.0,43.0,40.0,,,7.0,10.0,50.0
"07/28/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.029,27.0,19.0,18.0,,,0.0,0.0,27.0
"07/29/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.031,29.0,12.0,11.0,-0.7,0.0,0.0,0.0,29.0
"07/30/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.032,30.0,14.0,13.0,1.4,6.0,0.0,0.0,30.0
"07/31/2017, GT Craig NCore",0.4,5.0,35.0,33.0,0.04,37.0,46.0,43.0,10.0,42.0,24.0,34.0,43.0
"08/01/2017, GT Craig NCore",0.6,7.0,46.0,43.0,0.053,49.0,50.0,46.0,12.3,51.0,28.0,40.0,51.0
"08/02/2017, GT Craig NCore",0.4,5.0,35.0,33.0,0.064,80.0,52.0,48.0,16.6,60.0,,,80.0
"08/03/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.043,40.0,46.0,43.0,10.2,43.0,9.0,13.0,43.0
"08/04/2017, GT Craig NCore",0.4,5.0,22.0,21.0,0.031,29.0,20.0,19.0,6.5,27.0,1.0,1.0,29.0
"08/05/2017, GT Craig NCore",0.2,2.0,24.0,23.0,0.034,31.0,13.0,12.0,1.6,7.0,0.0,0.0,31.0
"08/06/2017, GT Craig NCore",0.4,5.0,19.0,18.0,0.038,35.0,25.0,23.0,7.8,33.0,6.0,9.0,35.0
"08/07/2017, GT Craig NCore",,,23.0,22.0,0.041,38.0,31.0,29.0,9.9,41.0,4.0,6.0,41.0
"08/08/2017, GT Craig NCore",0.3,3.0,30.0,28.0,0.039,36.0,18.0,17.0,4.6,19.0,23.0,33.0,36.0
"08/09/2017, GT Craig NCore",,,31.0,29.0,0.048,44.0,43.0,40.0,,,13.0,19.0,44.0
"08/10/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.046,43.0,52.0,48.0,13.1,53.0,7.0,10.0,53.0
"08/11/2017, GT Craig NCore",0.4,5.0,21.0,20.0,0.039,36.0,34.0,31.0,10.1,42.0,4.0,6.0,42.0
"08/12/2017, GT Craig NCore",0.2,2.0,15.0,14.0,0.048,44.0,14.0,13.0,4.8,20.0,0.0,0.0,44.0
"08/13/2017, GT Craig NCore",0.2,2.0,19.0,18.0,0.027,25.0,12.0,11.0,1.1,5.0,2.0,3.0,25.0
"08/14/2017, GT Craig NCore",0.5,6.0,39.0,37.0,0.044,41.0,40.0,37.0,8.5,35.0,10.0,14.0,41.0
"08/15/2017, GT Craig NCore",0.4,5.0,37.0,35.0,0.056,54.0,44.0,41.0,,,8.0,11.0,54.0
"08/16/2017, GT Craig NCore",0.4,5.0,34.0,32.0,0.039,36.0,37.0,34.0,9.2,38.0,1.0,1.0,38.0
"08/17/2017, GT Craig NCore",0.4,5.0,28.0,26.0,0.023,21.0,49.0,45.0,12.2,51.0,2.0,3.0,51.0
"08/18/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.041,38.0,17.0,16.0,-0.2,0.0,0.0,0.0,38.0
"08/19/2017, GT Craig NCore",0.4,5.0,27.0,25.0,0.05,46.0,18.0,17.0,4.9,20.0,2.0,3.0,46.0
"08/20/2017, GT Craig NCore",0.4,5.0,18.0,17.0,0.052,48.0,28.0,26.0,14.0,55.0,6.0,9.0,55.0
"08/21/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.047,44.0,40.0,37.0,11.0,46.0,3.0,4.0,46.0
"08/22/2017, GT Craig NCore",0.3,3.0,,,0.035,32.0,25.0,23.0,7.6,32.0,2.0,3.0,32.0
"08/23/2017, GT Craig NCore",0.3,3.0,30.0,28.0,0.033,31.0,17.0,16.0,3.8,16.0,1.0,1.0,31.0
"08/24/2017, GT Craig NCore",0.4,5.0,25.0,24.0,0.032,30.0,16.0,15.0,4.2,18.0,4.0,6.0,30.0
"08/25/2017, GT Craig NCore",0.4,5.0,30.0,28.0,0.028,26.0,23.0,21.0,7.1,30.0,1.0,1.0,30.0
"08/26/2017, GT Craig NCore",0.5,6.0,25.0,24.0,0.039,36.0,36.0,33.0,12.5,52.0,30.0,43.0,52.0
"08/27/2017, GT Craig NCore",0.5,6.0,22.0,21.0,0.042,39.0,31.0,29.0,10.7,45.0,10.0,14.0,45.0
"08/28/2017, GT Craig NCore",0.3,3.0,18.0,17.0,,,58.0,52.0,11.2,47.0,4.0,6.0,52.0
"08/29/2017, GT Craig NCore",0.2,2.0,21.0,20.0,0.037,34.0,31.0,29.0,10.2,43.0,2.0,3.0,43.0
"08/30/2017, GT Craig NCore",0.5,6.0,27.0,25.0,0.051,47.0,34.0,31.0,11.6,48.0,5.0,7.0,48.0
"08/31/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.027,25.0,16.0,15.0,8.3,35.0,1.0,1.0,35.0
"09/01/2017, GT Craig NCore",0.3,3.0,13.0,12.0,0.028,26.0,10.0,9.0,1.8,8.0,0.0,0.0,26.0
"09/02/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.026,24.0,13.0,12.0,1.5,6.0,0.0,0.0,24.0
"09/03/2017, GT Craig NCore",0.4,5.0,24.0,23.0,0.042,39.0,18.0,17.0,9.3,39.0,1.0,1.0,39.0
"09/04/2017, GT Craig NCore",0.4,5.0,7.0,7.0,0.047,44.0,27.0,25.0,9.3,39.0,1.0,1.0,44.0
"09/05/2017, GT Craig NCore",,,15.0,14.0,0.037,34.0,13.0,12.0,6.0,25.0,0.0,0.0,34.0
"09/06/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.026,24.0,14.0,13.0,4.9,20.0,0.0,0.0,24.0
"09/07/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.02,19.0,8.0,7.0,2.9,12.0,0.0,0.0,19.0
"09/08/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.031,29.0,8.0,7.0,2.1,9.0,0.0,0.0,29.0
"09/09/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.028,26.0,14.0,13.0,4.1,17.0,0.0,0.0,26.0
"09/10/2017, GT Craig NCore",0.4,5.0,23.0,22.0,0.027,25.0,17.0,16.0,5.9,25.0,3.0,4.0,25.0
"09/11/2017, GT Craig NCore",0.4,5.0,26.0,25.0,0.029,27.0,34.0,31.0,9.5,40.0,6.0,9.0,40.0
"09/12/2017, GT Craig NCore",0.4,5.0,26.0,25.0,0.032,30.0,26.0,24.0,4.9,20.0,2.0,3.0,30.0
"09/13/2017, GT Craig NCore",0.5,6.0,24.0,23.0,0.028,26.0,40.0,37.0,6.6,28.0,4.0,6.0,37.0
"09/14/2017, GT Craig NCore",0.3,3.0,24.0,23.0,0.021,19.0,18.0,17.0,3.6,15.0,2.0,3.0,23.0
"09/15/2017, GT Craig NCore",0.5,6.0,37.0,35.0,0.032,30.0,45.0,42.0,10.8,45.0,2.0,3.0,45.0
"09/16/2017, GT Craig NCore",0.6,7.0,25.0,24.0,0.041,38.0,36.0,33.0,20.8,69.0,13.0,19.0,69.0
"09/17/2017, GT Craig NCore",0.5,6.0,26.0,25.0,0.045,42.0,32.0,30.0,16.7,61.0,7.0,10.0,61.0
"09/18/2017, GT Craig NCore",0.6,7.0,28.0,26.0,0.041,38.0,51.0,47.0,15.1,57.0,10.0,14.0,57.0
"09/19/2017, GT Craig NCore",0.6,7.0,36.0,34.0,0.027,25.0,67.0,57.0,18.3,64.0,6.0,9.0,64.0
"09/20/2017, GT Craig NCore",0.8,9.0,35.0,33.0,0.041,38.0,44.0,41.0,13.0,53.0,6.0,9.0,53.0
"09/21/2017, GT Craig NCore",0.6,7.0,44.0,42.0,0.042,39.0,59.0,53.0,17.3,62.0,15.0,21.0,62.0
"09/22/2017, GT Craig NCore",0.4,5.0,37.0,35.0,0.039,36.0,57.0,52.0,11.7,49.0,19.0,27.0,52.0
"09/23/2017, GT Craig NCore",0.7,8.0,41.0,39.0,0.05,46.0,53.0,49.0,13.0,53.0,18.0,26.0,53.0
"09/24/2017, GT Craig NCore",0.8,9.0,40.0,38.0,0.054,50.0,46.0,43.0,19.5,67.0,12.0,17.0,67.0
"09/25/2017, GT Craig NCore",0.4,5.0,46.0,43.0,0.053,49.0,52.0,48.0,17.8,63.0,6.0,9.0,63.0
"09/26/2017, GT Craig NCore",0.4,5.0,50.0,47.0,0.051,47.0,58.0,52.0,16.1,59.0,36.0,51.0,59.0
"09/27/2017, GT Craig NCore",0.4,5.0,46.0,43.0,0.046,43.0,48.0,44.0,16.1,59.0,108.0,115.0,115.0
"09/28/2017, GT Craig NCore",0.2,2.0,22.0,21.0,0.034,31.0,10.0,9.0,0.9,4.0,1.0,1.0,31.0
"09/29/2017, GT Craig NCore",0.4,5.0,28.0,26.0,0.036,33.0,37.0,34.0,5.8,24.0,5.0,7.0,34.0
"09/30/2017, GT Craig NCore",0.2,2.0,13.0,12.0,0.031,29.0,9.0,8.0,0.6,3.0,0.0,0.0,29.0
"10/01/2017, GT Craig NCore",0.4,5.0,35.0,33.0,0.035,32.0,19.0,18.0,6.5,27.0,33.0,47.0,47.0
"10/02/2017, GT Craig NCore",,,39.0,37.0,0.037,34.0,64.0,55.0,10.6,44.0,58.0,79.0,79.0
"10/03/2017, GT Craig NCore",0.4,5.0,36.0,34.0,0.041,38.0,60.0,53.0,11.0,46.0,40.0,56.0,56.0
"10/04/2017, GT Craig NCore",0.4,5.0,40.0,38.0,0.035,32.0,56.0,51.0,9.5,40.0,69.0,92.0,92.0
"10/05/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.027,25.0,17.0,16.0,5.7,24.0,0.0,0.0,25.0
"10/06/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.021,19.0,24.0,22.0,14.7,56.0,1.0,1.0,56.0
"10/07/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.039,36.0,25.0,23.0,11.1,46.0,5.0,7.0,46.0
"10/08/2017, GT Craig NCore",0.3,3.0,8.0,8.0,0.027,25.0,9.0,8.0,2.0,8.0,0.0,0.0,25.0
"10/09/2017, GT Craig NCore",0.4,5.0,26.0,25.0,0.021,19.0,16.0,15.0,8.1,34.0,0.0,0.0,34.0
"10/10/2017, GT Craig NCore",0.7,8.0,,,0.032,30.0,44.0,41.0,22.4,73.0,1.0,1.0,73.0
"10/11/2017, GT Craig NCore",0.4,5.0,22.0,21.0,0.012,11.0,13.0,12.0,7.5,31.0,0.0,0.0,31.0
"10/12/2017, GT Craig NCore",0.4,5.0,16.0,15.0,0.013,12.0,18.0,17.0,6.1,25.0,0.0,0.0,25.0
"10/13/2017, GT Craig NCore",0.5,6.0,34.0,32.0,0.028,26.0,28.0,26.0,8.5,35.0,3.0,4.0,35.0
"10/14/2017, GT Craig NCore",0.5,6.0,24.0,23.0,0.044,41.0,38.0,35.0,20.0,68.0,7.0,10.0,68.0
"10/15/2017, GT Craig NCore",0.3,3.0,3.0,3.0,0.031,29.0,15.0,14.0,3.9,16.0,0.0,0.0,29.0
"10/16/2017, GT Craig NCore",,,28.0,26.0,0.029,27.0,14.0,13.0,2.7,11.0,9.0,13.0,27.0
"10/17/2017, GT Craig NCore",0.4,5.0,29.0,27.0,0.036,33.0,28.0,26.0,6.9,29.0,5.0,7.0,33.0
"10/18/2017, GT Craig NCore",0.7,8.0,36.0,34.0,0.037,34.0,49.0,45.0,10.0,42.0,10.0,14.0,45.0
"10/19/2017, GT Craig NCore",0.3,3.0,35.0,33.0,0.045,42.0,38.0,35.0,8.7,36.0,3.0,4.0,42.0
"10/20/2017, GT Craig NCore",0.6,7.0,43.0,41.0,0.032,30.0,63.0,55.0,14.3,56.0,40.0,56.0,56.0
"10/21/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.043,40.0,38.0,35.0,13.7,54.0,17.0,24.0,54.0
"10/22/2017, GT Craig NCore",0.4,5.0,19.0,18.0,0.043,40.0,31.0,29.0,13.3,54.0,19.0,27.0,54.0
"10/23/2017, GT Craig NCore",0.3,3.0,29.0,27.0,0.032,30.0,36.0,33.0,8.1,34.0,12.0,17.0,34.0
"10/24/2017, GT Craig NCore",0.2,2.0,,,0.03,28.0,11.0,10.0,2.4,10.0,1.0,1.0,28.0
"10/25/2017, GT Craig NCore",0.2,2.0,,,0.025,23.0,10.0,9.0,1.3,5.0,0.0,0.0,23.0
"10/26/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.03,28.0,16.0,15.0,5.4,23.0,13.0,19.0,30.0
"10/27/2017, GT Craig NCore",0.4,5.0,25.0,24.0,0.038,35.0,28.0,26.0,6.2,26.0,11.0,16.0,35.0
"10/28/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.019,18.0,5.0,5.0,1.7,7.0,0.0,0.0,18.0
"10/29/2017, GT Craig NCore",0.2,2.0,15.0,14.0,0.027,25.0,5.0,5.0,2.0,8.0,1.0,1.0,25.0
"10/30/2017, GT Craig NCore",0.2,2.0,14.0,13.0,0.021,19.0,10.0,9.0,3.2,13.0,0.0,0.0,19.0
"10/31/2017, GT Craig NCore",,,25.0,24.0,0.024,22.0,16.0,15.0,1.7,7.0,1.0,1.0,24.0
"11/01/2017, GT Craig NCore",,,25.0,24.0,0.022,20.0,29.0,27.0,9.6,40.0,2.0,3.0,40.0
"11/02/2017, GT Craig NCore",0.5,6.0,23.0,22.0,0.029,27.0,24.0,22.0,8.4,35.0,3.0,4.0,35.0
"11/03/2017, GT Craig NCore",0.3,3.0,15.0,14.0,0.024,22.0,11.0,10.0,2.8,12.0,0.0,0.0,22.0
"11/04/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.017,16.0,15.0,14.0,3.9,16.0,1.0,1.0,18.0
"11/05/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.02,19.0,15.0,14.0,4.8,20.0,0.0,0.0,20.0
"11/06/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.023,21.0,7.0,6.0,1.3,5.0,0.0,0.0,21.0
"11/07/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.024,22.0,11.0,10.0,2.2,9.0,0.0,0.0,22.0
"11/08/2017, GT Craig NCore",0.5,6.0,34.0,32.0,,,29.0,27.0,8.3,35.0,10.0,14.0,35.0
"11/09/2017, GT Craig NCore",0.7,8.0,30.0,28.0,,,43.0,40.0,20.1,68.0,10.0,14.0,68.0
"11/10/2017, GT Craig NCore",0.2,2.0,,,0.031,29.0,8.0,7.0,0.9,4.0,0.0,0.0,29.0
"11/11/2017, GT Craig NCore",0.4,5.0,30.0,28.0,0.029,27.0,15.0,14.0,6.3,26.0,26.0,37.0,37.0
"11/12/2017, GT Craig NCore",0.5,6.0,35.0,33.0,0.018,17.0,27.0,25.0,,,8.0,11.0,33.0
"11/13/2017, GT Craig NCore",,,32.0,30.0,0.024,22.0,18.0,17.0,,,1.0,1.0,30.0
"11/14/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.017,16.0,22.0,20.0,16.6,60.0,2.0,3.0,60.0
"11/15/2017, GT Craig NCore",0.4,5.0,27.0,25.0,0.015,14.0,38.0,35.0,17.1,62.0,5.0,7.0,62.0
"11/16/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.023,21.0,7.0,6.0,2.8,12.0,0.0,0.0,21.0
"11/17/2017, GT Craig NCore",0.3,3.0,12.0,11.0,0.021,19.0,18.0,17.0,3.8,16.0,3.0,4.0,19.0
"11/18/2017, GT Craig NCore",0.5,6.0,18.0,17.0,0.023,21.0,15.0,14.0,7.3,30.0,0.0,0.0,30.0
"11/19/2017, GT Craig NCore",0.3,3.0,3.0,3.0,,,6.0,6.0,0.6,3.0,0.0,0.0,6.0
"11/20/2017, GT Craig NCore",,,16.0,15.0,0.028,26.0,13.0,12.0,5.4,23.0,1.0,1.0,26.0
"11/21/2017, GT Craig NCore",0.4,5.0,16.0,15.0,0.031,29.0,19.0,18.0,4.6,19.0,1.0,1.0,29.0
"11/22/2017, GT Craig NCore",0.2,2.0,22.0,21.0,0.026,24.0,9.0,8.0,1.7,7.0,0.0,0.0,24.0
"11/23/2017, GT Craig NCore",0.2,2.0,17.0,16.0,0.028,26.0,8.0,7.0,6.1,25.0,0.0,0.0,26.0
"11/24/2017, GT Craig NCore",0.4,5.0,20.0,19.0,0.031,29.0,27.0,25.0,9.9,41.0,9.0,13.0,41.0
"11/25/2017, GT Craig NCore",0.3,3.0,10.0,9.0,0.031,29.0,12.0,11.0,3.1,13.0,0.0,0.0,29.0
"11/26/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.035,32.0,6.0,6.0,1.3,5.0,0.0,0.0,32.0
"11/28/2017, GT Craig NCore",,,,,0.038,35.0,,,,,,,35.0
"11/29/2017, GT Craig NCore",0.2,2.0,19.0,18.0,0.024,22.0,15.0,14.0,3.0,13.0,1.0,1.0,22.0
"11/30/2017, GT Craig NCore",0.3,3.0,35.0,33.0,0.021,19.0,31.0,29.0,11.0,46.0,10.0,14.0,46.0
"12/01/2017, GT Craig NCore",0.7,8.0,39.0,37.0,0.021,19.0,29.0,27.0,10.6,44.0,1.0,1.0,44.0
"12/02/2017, GT Craig NCore",0.8,9.0,36.0,34.0,0.013,12.0,38.0,35.0,23.6,75.0,7.0,10.0,75.0
"12/03/2017, GT Craig NCore",0.7,8.0,39.0,37.0,0.015,14.0,37.0,34.0,34.3,98.0,7.0,10.0,98.0
"12/04/2017, GT Craig NCore",,,34.0,32.0,0.034,31.0,68.0,57.0,18.4,64.0,17.0,24.0,64.0
"12/05/2017, GT Craig NCore",0.3,3.0,,,0.027,25.0,14.0,13.0,5.3,22.0,1.0,1.0,25.0
"12/06/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.024,22.0,10.0,9.0,1.3,5.0,0.0,0.0,22.0
"12/07/2017, GT Craig NCore",0.2,2.0,21.0,20.0,0.022,20.0,16.0,15.0,4.7,20.0,0.0,0.0,20.0
"12/08/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.026,24.0,13.0,12.0,3.5,15.0,0.0,0.0,24.0
"12/09/2017, GT Craig NCore",0.4,5.0,23.0,22.0,0.023,21.0,19.0,18.0,9.1,38.0,5.0,7.0,38.0
"12/10/2017, GT Craig NCore",0.3,3.0,13.0,12.0,0.024,22.0,13.0,12.0,,,0.0,0.0,22.0
"12/11/2017, GT Craig NCore",0.3,3.0,22.0,21.0,0.02,19.0,18.0,17.0,,,1.0,1.0,21.0
"12/12/2017, GT Craig NCore",0.4,5.0,15.0,14.0,0.035,32.0,15.0,14.0,3.5,15.0,0.0,0.0,32.0
"12/13/2017, GT Craig NCore",0.3,3.0,17.0,16.0,0.024,22.0,13.0,12.0,3.5,15.0,0.0,0.0,22.0
"12/14/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.03,28.0,11.0,10.0,4.7,20.0,0.0,0.0,28.0
"12/15/2017, GT Craig NCore",0.6,7.0,20.0,19.0,0.022,20.0,22.0,20.0,13.3,54.0,3.0,4.0,54.0
"12/16/2017, GT Craig NCore",0.5,6.0,29.0,27.0,0.021,19.0,16.0,15.0,8.8,37.0,1.0,1.0,37.0
"12/17/2017, GT Craig NCore",0.7,8.0,31.0,29.0,0.014,13.0,24.0,22.0,25.1,78.0,2.0,3.0,78.0
"12/18/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.02,19.0,12.0,11.0,10.9,45.0,0.0,0.0,45.0
"12/19/2017, GT Craig NCore",0.2,2.0,12.0,11.0,0.024,22.0,17.0,16.0,10.8,45.0,0.0,0.0,45.0
"12/20/2017, GT Craig NCore",0.3,3.0,36.0,34.0,0.029,27.0,23.0,21.0,2.8,12.0,0.0,0.0,34.0
"12/21/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.016,15.0,19.0,18.0,3.3,14.0,0.0,0.0,25.0
"12/22/2017, GT Craig NCore",0.5,6.0,27.0,25.0,0.009,8.0,20.0,19.0,14.4,56.0,1.0,1.0,56.0
"12/23/2017, GT Craig NCore",0.5,6.0,18.0,17.0,0.022,20.0,6.0,6.0,7.6,32.0,0.0,0.0,32.0
"12/24/2017, GT Craig NCore",0.3,3.0,28.0,26.0,0.025,23.0,9.0,8.0,12.4,52.0,0.0,0.0,52.0
"12/25/2017, GT Craig NCore",0.3,3.0,8.0,8.0,0.032,30.0,11.0,10.0,4.7,20.0,0.0,0.0,30.0
"12/26/2017, GT Craig NCore",0.2,2.0,13.0,12.0,0.03,28.0,14.0,13.0,6.6,28.0,0.0,0.0,28.0
"12/27/2017, GT Craig NCore",0.3,3.0,29.0,27.0,0.025,23.0,10.0,9.0,12.1,51.0,1.0,1.0,51.0
"12/28/2017, GT Craig NCore",0.3,3.0,31.0,29.0,0.019,18.0,15.0,14.0,11.9,50.0,2.0,3.0,50.0
"12/29/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.022,20.0,14.0,13.0,15.8,59.0,1.0,1.0,59.0
"12/30/2017, GT Craig NCore",0.2,2.0,16.0,15.0,0.032,30.0,8.0,7.0,10.3,43.0,0.0,0.0,43.0
"12/31/2017, GT Craig NCore",0.3,3.0,27.0,25.0,,,12.0,11.0,4.4,18.0,1.0,1.0,25.0
